id_cliente,perfil_estimado,edad,genero,ingreso_mensual_bs,ingreso_mensual_usd_ref,presupuesto_max_usd,presupuesto_max_bs,fuente_contacto,dispositivo_principal,tipo_propiedad_buscada,zona_preferida_1,anillo_preferido,estrato_zona_preferida,zonas_visitadas_conteo,habitaciones_minimo,superficie_minima_m2,superficie_maxima_m2,precio_minimo_usd,precio_maximo_usd,precio_minimo_bs,precio_maximo_bs,necesita_garage,necesita_jardin,prefiere_amueblado,acepta_planos,propiedades_vistas,contactos_realizados,favoritos_guardados,dias_activo_plataforma,sesiones_totales,frecuencia_busqueda,vio_video_propiedad,solicito_visita,cerro_trato,score_engagement,tiempo_decision_dias,calificacion_atencion,fecha_registro
CLI-00001,Familia,30,No especificado,17628.0,2532.76,108000.0,751700.0,Llamada telefónica,Móvil,Duplex,Villa 1ro de Mayo,4,Bajo,2,1,42,340,59000.0,108000.0,410600.0,751700.0,0,1,0,1,16,7,14,166,67,Diaria,0,1,0,77.1,,5.0,2022-12-10
CLI-00002,Joven_prof,34,F,4231.0,607.9,29000.0,201800.0,Instagram,Móvil,Departamento,Av. Cristo Redentor,3,Medio,2,3,294,353,16000.0,29000.0,111400.0,201800.0,1,1,0,1,66,10,16,229,147,Semanal,0,1,0,100.0,,2.0,2022-09-06
CLI-00003,Inversor,58,M,19950.0,2866.38,177000.0,1231900.0,Visita directa,Móvil,Terreno,Av. Paurito,5,Medio-Bajo,1,2,201,282,97000.0,177000.0,675100.0,1231900.0,0,1,0,0,1,1,18,35,101,Semanal,1,0,0,69.8,,1.0,2024-01-21
CLI-00004,Inversor,48,No especificado,49434.0,7102.59,279000.0,1941800.0,Instagram,Desktop,Terreno,Plan 3000,4,Bajo,3,1,248,565,153000.0,279000.0,1064900.0,1941800.0,1,1,0,0,46,0,18,202,152,Mensual,1,0,0,100.0,,,2022-01-06
CLI-00005,Inversor,40,M,78030.0,11211.21,100000.0,696000.0,Portal web,Móvil,Local Comercial,Warnes,6,Bajo,1,4,146,381,55000.0,100000.0,382800.0,696000.0,1,1,0,1,28,13,5,365,53,Mensual,1,1,0,78.9,,2.0,2023-05-29
CLI-00006,Joven_prof,26,M,7285.0,1046.7,30000.0,208800.0,Instagram,Móvil,Penthouse,Cotoca (periurbano),6,Bajo,2,2,263,567,16000.0,30000.0,111400.0,208800.0,1,0,1,1,57,1,16,332,16,Diaria,1,0,0,68.3,,4.0,2022-12-28
CLI-00007,Joven_prof,29,M,7054.0,1013.51,33000.0,229700.0,Referido,Desktop,Departamento,Equipetrol Norte,3,Alto,4,1,219,389,18000.0,33000.0,125300.0,229700.0,1,0,0,0,39,9,11,281,25,Mensual,0,1,1,76.0,233.0,2.0,2023-11-30
CLI-00008,Joven_prof,32,M,9442.0,1356.61,50000.0,348000.0,Facebook,Móvil,Penthouse,Equipetrol Norte,3,Alto,2,1,226,280,28000.0,50000.0,194900.0,348000.0,1,1,0,0,42,10,14,321,105,Ocasional,1,1,0,100.0,,2.0,2023-08-28
CLI-00009,Empresa,32,M,36660.0,5267.24,309000.0,2150600.0,Referido,Móvil,Local Comercial,Urbarí,2,Alto,2,3,282,578,170000.0,309000.0,1183200.0,2150600.0,0,1,0,0,22,8,0,35,156,Varias veces/semana,1,1,1,81.8,674.0,3.0,2022-04-14
CLI-00010,Inversor,40,F,63930.0,9185.34,215000.0,1496400.0,Llamada telefónica,Móvil,Departamento,Norte (Radial 26),4,Medio-Alto,4,2,214,393,118000.0,215000.0,821300.0,1496400.0,1,0,1,0,2,8,13,1,13,Ocasional,0,1,0,54.9,,1.0,2024-03-31
