id_propiedad,zona,anillo_vial,estrato_socioeconomico,latitud,longitud,distancia_centro_km,distancia_av_banzer_km,tipo_propiedad,superficie_total_m2,superficie_construida_m2,habitaciones,banos,pisos,garage_vehiculos,antiguedad_anos,estado_conservacion,material_construccion,orientacion,tiene_piscina,tiene_jardin,amueblado,tiene_ascensor,seguridad_24h,precio_m2_usd,precio_total_usd,precio_total_bs,fecha_publicacion,disponible
SC-00001,Norte (Radial 26),4,Medio-Alto,-17.73032,-63.183257,5.98,0.04,Casa,452,210,4,2,1,0,8,Bueno,Hormigón armado,Oeste,0,0,1,0,1,544.34,110400.0,768400.0,2022-08-27,1
SC-00002,Equipetrol Norte,3,Alto,-17.771382,-63.167903,2.78,4.59,Casa,356,153,6,4,1,4,28,Bueno,Hormigón armado,Oeste,1,0,1,0,1,1004.53,156900.0,1092000.0,2024-02-21,1
SC-00003,Equipetrol Sur,3,Alto,-17.762257,-63.187042,2.84,3.58,Casa,187,130,4,3,1,3,46,Malo,Ladrillo,Noroeste,0,0,0,0,1,312.4,39800.0,277000.0,2023-08-15,1
SC-00004,Equipetrol Sur,3,Alto,-17.773815,-63.191236,2.0,4.86,Terreno,339,0,0,0,0,0,0,Malo,Hormigón armado,Suroeste,0,0,1,0,0,337.15,115600.0,804600.0,2023-10-13,0
SC-00005,Las Palmas,2,Alto-Medio,-17.752228,-63.213606,6.76,2.47,Departamento,93,83,3,3,1,2,29,Bueno,Hormigón armado,Oeste,0,0,1,1,0,451.87,37600.0,261700.0,2023-12-03,1
SC-00006,Los Pozos,3,Medio,-17.776533,-63.151031,3.99,5.17,Casa,111,56,2,3,2,0,17,Malo,Hormigón armado,Suroeste,0,1,1,0,0,172.54,9200.0,64000.0,2023-02-10,0
SC-00007,Norte (Radial 26),4,Medio-Alto,-17.731339,-63.170145,6.99,0.15,Casa,161,121,3,2,3,4,35,Bueno,Hormigón armado,Este,0,1,1,0,0,448.77,54000.0,375800.0,2023-06-06,1
SC-00008,Los Pozos,3,Medio,-17.785124,-63.170649,1.44,6.12,Oficina,327,263,3,2,3,4,27,En construcción,Ladrillo,Norte,0,0,0,1,0,313.72,80500.0,560300.0,2023-11-28,1
SC-00009,Sur (Doble Vía La Guardia),4,Medio,-17.806815,-63.163155,4.64,8.53,Departamento,343,334,3,3,1,0,10,Excelente,Ladrillo,Noreste,0,0,0,1,0,423.1,145200.0,1010600.0,2023-05-28,0
SC-00010,Av. Banzer (norte),4,Medio-Alto,-17.739121,-63.195643,6.31,1.01,Casa,589,298,4,2,1,1,23,Excelente,Hormigón armado,Norte,0,1,1,0,1,764.85,218500.0,1520800.0,2022-04-25,0
SC-00011,Beni (zona norte),3,Medio-Alto,-17.758572,-63.173719,3.59,3.17,Oficina,154,99,4,2,1,4,15,Excelente,Mixto,Este,0,0,1,1,1,760.35,74200.0,516400.0,2022-05-12,1
SC-00012,El Trompillo,2,Medio-Alto,-17.780393,-63.183833,0.48,5.59,Casa,102,74,6,4,1,1,34,Bueno,Mixto,Suroeste,0,0,0,0,0,584.72,41400.0,288100.0,2022-05-04,1
SC-00013,Equipetrol Sur,3,Alto,-17.767246,-63.196524,3.28,4.13,Casa,470,219,6,2,3,0,14,Malo,Hormigón armado,Oeste,1,0,0,0,0,676.3,141800.0,986900.0,2022-10-13,1
SC-00014,Hamacas,2,Alto-Medio,-17.761093,-63.198671,4.19,3.45,Casa,594,256,6,4,1,3,50,Bueno,Hormigón armado,Norte,0,1,0,0,1,483.22,121600.0,846300.0,2023-11-21,1
SC-00015,Norte (Radial 26),4,Medio-Alto,-17.731412,-63.163603,7.67,0.16,Casa,601,296,4,1,1,1,12,Bueno,Mixto,Sur,0,1,0,0,1,635.01,187400.0,1304300.0,2023-03-30,0
SC-00016,Beni (zona norte),3,Medio-Alto,-17.752186,-63.174318,4.23,2.46,Casa,230,105,6,1,1,1,48,Bueno,Hormigón armado,Sureste,0,1,0,0,1,368.13,39700.0,276300.0,2022-01-03,0
SC-00017,Casco Viejo,1,Medio,-17.778908,-63.187569,1.04,5.43,Terreno,193,0,0,0,0,0,0,Bueno,Adobe,Suroeste,0,0,0,0,0,219.55,40400.0,281200.0,2022-06-08,1
SC-00018,Hamacas,2,Alto-Medio,-17.750689,-63.185333,3.94,2.3,Casa,296,159,6,1,3,0,20,Excelente,Ladrillo,Este,1,1,1,0,1,983.87,152500.0,1061400.0,2022-03-12,1
